"Agoncillo - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","8,1","12,3","4,8","79","90","64","8,4","3,1","8,7","11,2","31,3","319 ( NNW )","294 ( WNW )","0","1","-","-","-","0","0"
"02-01-2005","8,2","12,3","5,8","77","86","64","3,85","2,7","9,6","9,8","34,6","305 ( WNW )","333 ( NNW )","0","1,1","-","-","-","0","0"
"03-01-2005","6,1","11,1","-1,5","77","94","51","8,66","1,7","6,6","6","23,7","296 ( WNW )","292 ( WNW )","0","0,8","-","-","-","0","0"
"04-01-2005","0,4","6,8","-3,9","91","96","74","5,39","0,5","2,7","1,9","9,7","321 ( NNW )","304 ( WNW )","0,2","0,3","-","-","-","0","0"
"05-01-2005","3,2","11,2","-3,2","83","97","55","8,21","1,6","8,3","5,8","29,7","43 ( NNE )","305 ( WNW )","0","0,8","-","-","-","0","0"
"06-01-2005","7","12,6","1,5","77","95","63","5,74","1,7","6,1","6,2","21,9","19 ( NNE )","269 ( WSW )","0","0,8","-","-","-","0","0"
"07-01-2005","1,2","2,5","-1,9","96","97","93","2,39","1,2","3,9","4,3","14,2","318 ( NNW )","134 ( ESE )","0,5","0,3","-","-","-","0","0"
"08-01-2005","1,5","4,7","-2,9","92","97","78","3,97","1","3,2","3,5","11,4","83 ( ENE )","193 ( SSW )","0,2","0,4","-","-","-","0","0"
"09-01-2005","-0,3","1","-1,4","93","97","87","1,16","1,2","3,4","4,3","12,2","353 ( NNW )","148 ( SSE )","0","0,4","-","-","-","0","0"
"10-01-2005","-1,5","-0,3","-2,1","90","94","85","1,85","1,5","3,9","5,3","13,9","30 ( NNE )","118 ( ESE )","0","0,4","-","-","-","0","0"
"11-01-2005","-0,7","1","-2,4","93","96","89","2,85","1","3,9","3,7","14","39 ( NNE )","118 ( ESE )","0","0,3","-","-","-","0","0"
