"Alfaro - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","8,8","14,2","4,3","73","86","53","8,384","4,2","9,1","15","32,7","63 ( ENE )","320 ( NNW )","0","1,7","8,6","9,2","8,2","0","0"
"02-01-2005","8,1","13,2","4,8","75","83","60","4,495","2,7","8,9","9,7","31,9","54 ( ENE )","354 ( NNW )","0","1,3","8,6","9,2","8,2","0","0"
"03-01-2005","6","11","-1,7","72","92","47","8,609","2,8","8,8","10","31,5","317 ( NNW )","325 ( NNW )","0","1,2","8,2","8,8","7,2","0","0"
"04-01-2005","-0,1","6,6","-3,4","90","95","70","5,399","0,8","4","2,9","14,4","40 ( NNE )","334 ( NNW )","0","0,4","6,8","7,7","6,1","0","0"
"05-01-2005","-1,1","7,5","-5,4","90","96","66","6,681","0,5","2,5","2","9,1","302 ( WNW )","14 ( NNE )","0,2","0,3","6","7","5,4","0","0"
"06-01-2005","5","14,1","-1,7","82","94","57","7,627","1,3","7,6","4,8","27,5","307 ( WNW )","336 ( NNW )","0,2","0,8","6,3","7,5","5,4","0","0"
"07-01-2005","-0,7","0,8","-2,7","96","97","93","2,156","0,8","2,8","2,7","10,2","38 ( NNE )","168 ( SSE )","0,4","0,3","6,2","6,5","5,9","0","0"
"08-01-2005","0,4","2,5","-0,7","94","97","87","3,548","1","3,4","3,5","12,1","333 ( NNW )","300 ( WNW )","0,2","0,3","6,4","6,9","6,2","0","0"
"09-01-2005","-1,5","0,2","-2,7","95","97","93","1,473","1,2","3,3","4,5","11,7","302 ( WNW )","139 ( SSE )","0","0,3","6,1","6,4","5,8","0","0"
"10-01-2005","-2,7","-1,9","-3,7","94","97","90","1,262","1,2","4,2","4,3","15","304 ( WNW )","135 ( SE )","0","0,3","5,5","5,8","5,4","0","0"
"11-01-2005","-3,1","-1,8","-4,8","95","96","92","2,123","0,9","3,3","3,3","11,9","90 ( E )","215 ( SSW )","0","0,3","5,3","5,5","5","0","0"
"12-01-2005","-1,4","3,3","-4,2","94","97","87","4,424","0,9","2,7","3,2","9,7","271 ( WNW )","354 ( NNW )","0","0,3","5,4","6","5","0","0"
"13-01-2005","1,8","5,4","-1,7","94","97","83","3,54","1","4,9","3,8","17,6","1 ( NNE )","290 ( WNW )","0,2","0,4","5,6","6","5","0","0"
"14-01-2005","0,5","2","-1,3","97","98","97","2,322","0,9","3,6","3,3","13,1","27 ( NNE )","149 ( SSE )","0,4","0,3","6","6,3","5,7","0","0"
"15-01-2005","0,7","1,7","-0,2","97","98","96","1,85","1,4","4,3","5","15,6","334 ( NNW )","121 ( ESE )","0,2","0,3","5,9","6","5,7","0","0"
"16-01-2005","1,5","2,1","0,9","96","97","93","1,57","0,8","2,7","2,9","9,7","11 ( NNE )","325 ( NNW )","0,2","0,4","6,1","6,4","5,9","0","0"
"17-01-2005","0,1","1,3","-1,2","95","97","90","2,544","0,9","3","3,1","10,7","61 ( ENE )","226 ( WSW )","0","0,4","6,1","6,4","5,9","0","0"
