"Ausejo - Datos Diarios - Fecha-Hora desde: 08-10-2008 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"14-10-2008","17,7","23","13,7","77","90","57","12,888","1,2","4,3","4,3","15,4","324 ( NNW )","127 ( ESE )","0","2","17,7","22,3","14,8","0","0"
"15-10-2008","17,4","24,4","12,5","74","97","42","13,055","1","3,2","3,4","11,5","321 ( NNW )","262 ( WSW )","0","2,1","18","23","14,4","0","0"
"16-10-2008","16,4","21,1","11,9","71","90","52","10,137","1,3","6,7","4,8","24,2","294 ( WNW )","284 ( WNW )","0","1,8","17","20,2","14,2","0","0"
"17-10-2008","15,3","19,3","12","79","92","62","6,196","0,7","2,7","2,6","9,7","69 ( ENE )","233 ( WSW )","0","1,2","16,4","19,1","14,3","0","0"
"18-10-2008","14,6","19,1","10,5","77","97","51","10,076","1","3,8","3,5","13,5","359 ( NNW )","334 ( NNW )","1,4","1,5","16,6","19,7","14,5","0","0"
"19-10-2008","13,2","16,8","9,6","82","94","72","6,711","1,7","7","6","25,3","24 ( NNE )","151 ( SSE )","0","1,2","14,9","16,9","13,5","0","0"
"20-10-2008","15,4","19,7","11,8","86","99","67","10,672","2,2","6,8","7,8","24,6","314 ( WNW )","118 ( ESE )","0","1,7","15,7","18,8","13,3","0","0"
"21-10-2008","13,7","18,9","10,1","92","100","74","6,797","1,5","6,2","5,6","22,4","50 ( ENE )","288 ( WNW )","4","1,2","15,9","19,2","14","0","0"
"22-10-2008","8,6","10,7","6,4","77","97","55","5,75","3,4","8,3","12,4","29,9","333 ( NNW )","310 ( WNW )","2,4","1,4","12","14","9,2","0","0"
"23-10-2008","8,3","13,6","4,7","63","79","35","14,836","2,9","8,9","10,3","32,1","63 ( ENE )","310 ( WNW )","0","2,3","10,3","14,7","7,6","0","0"
"24-10-2008","9,2","15,3","2,5","63","89","33","14,201","1,2","3,5","4,2","12,5","12 ( NNE )","342 ( NNW )","0","1,6","10,5","16,1","6,3","0","0"
"25-10-2008","12,1","19,1","6,4","57","74","26","13,925","2,5","7,4","9,1","26,7","31 ( NNE )","318 ( NNW )","0","2,8","11,6","16,4","8,1","0","0"
"26-10-2008","12,8","21,3","6,5","61","88","33","13,697","1,1","4,3","4","15,4","273 ( WNW )","322 ( NNW )","0","1,8","12,7","18,2","8,6","0","0"
"27-10-2008","11,6","18,2","6,3","73","98","37","9,806","1,5","7,9","5,4","28,4","48 ( ENE )","330 ( NNW )","12,9","1,7","12,4","17,1","8,9","0","900"
"28-10-2008","7,2","10,4","4,7","84","98","65","3,746","3,4","8,2","12,1","29,4","332 ( NNW )","301 ( WNW )","3,6","1,1","10,3","12,4","7,9","0","1440"
"29-10-2008","4,6","7,2","3","82","92","68","6,809","4","11,4","14,5","41","90 ( E )","319 ( NNW )","1","1,1","7,7","9,8","6","0","1440"
"30-10-2008","-","-","-","88","99","67","5,822","1,2","5,3","4,2","18,9","279 ( WNW )","98 ( ESE )","2,8","-","-","-","-","0","1440"
"31-10-2008","6,9","9","5","99","100","80","1,557","1,7","7,9","6,1","28,5","37 ( NNE )","140 ( SSE )","10,1","0,8","8,6","9,2","8","0","1440"
"01-11-2008","8,1","12,3","4,6","79","97","60","10,144","1,1","4","4","14,4","354 ( NNW )","196 ( SSW )","0","1","9,7","13,1","6,7","0","1440"
"02-11-2008","5,6","7,4","2,2","89","97","75","0,819","3,9","11,2","14,2","40,4","66 ( ENE )","330 ( NNW )","46,5","0,8","7,4","8,9","6,3","0","1440"
"03-11-2008","6,7","8,4","4,9","93","99","74","4,737","1,1","4,9","4,1","17,7","18 ( NNE )","320 ( NNW )","1,6","0,7","8,3","10,2","6,6","0","1440"
"04-11-2008","6,6","11,3","3,1","86","100","63","9,532","1,2","4,7","4,4","17","73 ( ENE )","272 ( WNW )","0,2","0,9","9,2","13,3","7,1","0","1440"
"05-11-2008","8,9","12,1","6,2","77","91","66","8,231","3,8","10,1","13,6","36,4","84 ( ENE )","292 ( WNW )","1","1,3","8,7","11,6","6,3","0","1440"
"06-11-2008","9,8","13,1","5,6","72","83","55","8,535","2,5","8,3","9","29,8","273 ( WNW )","301 ( WNW )","0","1,4","9,7","12,8","7,9","0","1440"
