"Casalarreina - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","6,5","9,3","4,1","83","91","72","8,528","3,6","10,3","12,8","37","323 ( NNW )","283 ( WNW )","0,2","0,8","6,9","7,4","6,4","0","0"
"02-01-2005","6,7","9,5","4,7","83","91","76","3,259","2,5","7,9","9","28,6","57 ( ENE )","6 ( NNE )","1,8","0,8","6,7","7,4","6,2","0","0"
"03-01-2005","5,5","8,9","0,3","82","92","61","7,322","1,7","5,2","6","18,6","62 ( ENE )","339 ( NNW )","0,2","0,7","6,8","7,5","6,1","0","0"
"04-01-2005","0,6","3,4","-2,3","93","95","88","4,151","0,8","3,5","2,9","12,4","7 ( NNE )","192 ( SSW )","0,2","0,3","5","6,1","4,2","0","0"
"05-01-2005","2,8","9,2","-2","84","95","65","8,537","3,3","9,6","11,8","34,4","343 ( NNW )","275 ( WNW )","0,2","0,9","4,7","5,5","3,9","0","0"
"06-01-2005","5,6","12","2,2","81","90","69","4,506","1,5","5","5,5","17,9","291 ( WNW )","271 ( WNW )","0","0,7","5,4","6,7","4,6","0","0"
"07-01-2005","1,9","6","-0,8","93","95","90","7,01","1,2","5,3","4,4","19","32 ( NNE )","87 ( ENE )","0,4","0,3","5,2","5,9","4,5","0","0"
"08-01-2005","1,6","5,5","-0,5","89","95","74","6,768","1,5","5,8","5,6","20,9","19 ( NNE )","238 ( WSW )","0","0,5","5,3","6","4,5","0","0"
"09-01-2005","-2","1","-4,4","91","95","74","1,681","1,4","5,9","5","21,2","10 ( NNE )","247 ( WSW )","0","0,5","3,6","4,5","3,2","0","0"
"10-01-2005","-2","-0,6","-3","91","95","84","3,333","1,7","5","6","18,1","317 ( NNW )","97 ( ESE )","0","0,4","3,3","3,7","3","0","0"
"11-01-2005","1,3","6,1","-3,6","83","94","67","6,954","3,2","10","11,3","36,1","7 ( NNE )","274 ( WNW )","0,2","0,8","3,2","3,8","2,5","0","0"
"12-01-2005","6,6","10,5","3,9","79","84","67","5,773","3,8","8,8","13,7","31,7","297 ( WNW )","272 ( WNW )","0","1,2","4,4","5,4","3,5","0","0"
"13-01-2005","8","11,8","4,3","82","89","68","5,235","2,6","8","9,3","28,9","301 ( WNW )","300 ( WNW )","0","1","5,9","6,8","5,3","0","0"
"14-01-2005","3,8","6,3","1,8","92","94","85","6,04","1,8","4,1","6,3","14,8","1 ( NNE )","64 ( ENE )","0","0,5","6","6,6","5,4","0","0"
"15-01-2005","1,6","2,6","0,5","94","95","93","1,965","2","5,4","7,2","19,3","286 ( WNW )","151 ( SSE )","0,2","0,4","5,5","6,1","5,2","0","0"
