"Entrena - Datos Diarios - Fecha-Hora desde: 23-08-2013 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"08-07-2017","19,9","27","15,6","78","95","50","17,538","1,5","9,2","5,3","33,2","354 ( NNW )","35 ( NNE )","7,4","3,8","22,9","24,8","21,6","674,833","0"
"09-07-2017","22,4","29,9","16,6","68","94","37","28,83","1,7","8,6","6,1","31","36 ( NNE )","284 ( WNW )","2","5,9","23,4","26,3","20,9","175,67","0"
"10-07-2017","18,5","21,7","16,4","79","89","65","8,307","1,4","5,6","5","20,1","276 ( WNW )","273 ( WNW )","0","2,2","22,3","23,6","21,6","97,007","0"
"11-07-2017","21,3","30","12,3","69","95","38","29,41","0,8","4,3","3","15,5","40 ( NNE )","47 ( ENE )","0","5,4","23","26","20,1","323,5","0"
"12-07-2017","22,7","31,2","13,9","62","94","38","30,031","1,1","5,4","4,1","19,4","288 ( WNW )","15 ( NNE )","0","5,8","24","26,9","21,3","240,17","0"
"13-07-2017","21,7","31","15,4","65","90","36","30,119","2,1","8,7","7,5","31,4","22 ( NNE )","257 ( WSW )","0","6,4","24,6","27,4","22,2","19,83","0"
"14-07-2017","19,7","26,8","15,3","62","81","37","29,244","2,4","7,8","8,7","28,2","343 ( NNW )","281 ( WNW )","0","6","24,8","27,2","22,8","0","0"
"15-07-2017","20,9","29,8","14,1","57","81","29","30,957","1,5","6,3","5,4","22,6","272 ( WNW )","310 ( WNW )","0","6,1","25","27,8","22,4","0","0"
"16-07-2017","23,2","32,3","12,1","59","94","29","29,819","1,1","5,2","4,1","18,7","7 ( NNE )","313 ( WNW )","0","5,9","25,8","28,6","23","214,497","0"
"17-07-2017","26,9","33,8","18,9","55","89","31","28,007","2,8","11,1","9,9","39,9","56 ( ENE )","80 ( ENE )","0,2","7,2","26,6","28,7","24,7","258,337","0"
"18-07-2017","24,3","33,4","16","61","88","30","21,168","1,5","9,7","5,5","34,9","273 ( WNW )","54 ( ENE )","0,2","5,3","26,6","28,8","24,6","244,341","0"
"19-07-2017","24,5","31,7","18","56","82","22","22,626","1,1","8,3","4,1","30","306 ( WNW )","55 ( ENE )","0","5,1","26,7","29","24,6","2,5","0"
"20-07-2017","18,9","25,3","15,3","71","81","48","14,268","1,6","6,8","5,7","24,3","327 ( NNW )","350 ( NNW )","0","3,5","26","27,7","25","0","0"
"21-07-2017","18,9","26,7","13,7","66","85","42","23,259","1,6","5,8","5,8","20,8","313 ( WNW )","337 ( NNW )","0","4,7","25,4","27,8","23,7","0","0"
"22-07-2017","19,6","30,4","10,7","61","90","24","26,746","1,3","7,7","4,5","27,9","54 ( ENE )","282 ( WNW )","0","5,4","25,7","28,5","23,2","248,33","0"
"23-07-2017","20,6","28,3","15,9","59","80","31","26,826","1,6","5,7","5,8","20,5","80 ( ENE )","310 ( WNW )","0","5,5","26,5","29,1","24,4","0","0"
"24-07-2017","20,2","25,3","16,6","64","77","46","23,517","2,2","9,5","7,9","34,2","353 ( NNW )","334 ( NNW )","0","4,9","26,5","28,6","24,9","0","0"
"25-07-2017","17,2","22,4","11,8","66","90","46","16,232","1,8","6,5","6,5","23,3","0 ( N )","348 ( NNW )","0","3,4","25,4","26,7","24,4","100,5","0"
"26-07-2017","19,8","29,8","10,3","62","92","30","27,577","1,1","5,9","3,9","21,2","297 ( WNW )","296 ( WNW )","0","5,2","25,3","28,2","22,6","360,67","0"
"27-07-2017","22,6","33,6","11,8","57","90","19","29,052","0,9","6,5","3,2","23,3","71 ( ENE )","347 ( NNW )","0","5,6","26,5","29,7","23,5","279,987","0"
"28-07-2017","23,2","32,9","14,1","60","95","28","29,028","1","6,3","3,7","22,6","36 ( NNE )","352 ( NNW )","0","5,7","27,3","30,2","24,6","409","0"
"29-07-2017","24,6","35,5","13,9","46","86","17","28,45","0,6","4,1","2,2","14,8","71 ( ENE )","121 ( ESE )","0","5,4","27,8","30,7","25","60,337","0"
"30-07-2017","24,3","36,2","16,7","53","79","14","26,761","1,8","9,3","6,4","33,5","44 ( NNE )","266 ( WSW )","0","6,9","28,3","31,2","25,9","0","0"
"31-07-2017","21,3","30,4","16,5","64","79","39","26,294","1,8","7,7","6,3","27,9","312 ( WNW )","310 ( WNW )","0","5,6","28,1","30,5","26,1","0","0"
"01-08-2017","21,5","30,4","14,9","65","87","37","26,849","1,6","7,1","5,6","25,4","320 ( NNW )","280 ( WNW )","0","5,5","27,9","30,5","25,6","0","0"
"02-08-2017","23,9","32,3","14,3","61","92","30","26,868","1","5,2","3,5","18,7","281 ( WNW )","97 ( ESE )","0","5,3","28,1","31","25,5","173,83","0"
"03-08-2017","25,7","36","16","54","90","17","28,052","1,3","7,1","4,9","25,4","85 ( ENE )","272 ( WNW )","0","6,3","28,6","31,4","26,1","137,33","0"
"04-08-2017","25,8","34,8","18,3","57","83","29","27,812","1,2","7","4,4","25","90 ( E )","343 ( NNW )","0","6","29,2","32","26,6","0","0"
"05-08-2017","20,7","24,3","16,8","74","85","63","7,294","1,5","7,8","5,6","28,2","325 ( NNW )","278 ( WNW )","0","2,2","27,6","29,3","26,2","5,5","0"
"06-08-2017","19,5","27","14,7","65","93","36","24,538","1,3","5,6","4,6","20,1","6 ( NNE )","353 ( NNW )","0,2","4,6","26,8","29,4","24,8","217,5","0"
"07-08-2017","21","30,5","14,2","68","89","43","24,231","1,2","9,2","4,3","33,2","42 ( NNE )","254 ( WSW )","0","4,8","27,3","29,8","24,8","38,83","0"
"08-08-2017","17,4","22,8","14,2","63","90","38","18,455","1,7","6,6","6,2","23,6","328 ( NNW )","17 ( NNE )","0","3,8","26,6","28,1","25,4","70","0"
"09-08-2017","15,4","19,3","11,4","62","79","42","11,828","1,6","8,3","5,7","30","9 ( NNE )","294 ( WNW )","0","2,8","25","25,9","23,7","0","0"
"10-08-2017","15,7","20,8","11,6","62","82","46","20,47","2,1","7,5","7,6","27,2","20 ( NNE )","295 ( WNW )","0","3,8","24,1","26,1","22,6","35,17","0"
"11-08-2017","16,7","23,8","11,3","57","81","34","27,367","1,2","6,7","4,4","24","58 ( ENE )","302 ( WNW )","0","4,6","24,5","27,4","22,2","0","0"
"12-08-2017","18,6","30,1","6,9","51","89","12","26,942","0,9","6,2","3,2","22,2","280 ( WNW )","41 ( NNE )","0","4,8","24,9","28","22","79,177","0"
"13-08-2017","20,9","30,4","10,3","52","87","23","26,929","0,9","4,4","3,1","15,9","47 ( ENE )","117 ( ESE )","0","4,8","25,8","28,9","23","24,33","0"
"14-08-2017","22,5","32,2","11,6","58","91","30","21,965","1,6","13,1","5,9","47,3","347 ( NNW )","143 ( SSE )","1","5,1","26,1","28,6","23,8","154,513","0"
"15-08-2017","21,9","29,3","17,5","66","82","40","20,361","1,4","5,6","5,2","20,1","33 ( NNE )","264 ( WSW )","0","4,5","26","28,1","24,1","21,5","0"
"16-08-2017","21,8","30,1","16,2","62","83","33","24,441","1,4","5,9","5","21,2","45 ( NE )","7 ( NNE )","0","5","26,5","29,2","24,6","0","0"
"17-08-2017","22,7","33,2","11,6","53","87","23","25,912","0,8","4,8","2,8","17,3","56 ( ENE )","117 ( ESE )","0","4,8","26,7","29,8","23,9","68,504","0"
"18-08-2017","20,7","28","15,3","68","90","44","20,538","1,5","8,9","5,5","32,1","333 ( NNW )","282 ( WNW )","0","4,2","26,6","28,5","24,8","128,994","0"
"19-08-2017","19,8","27,3","14,7","63","88","36","20,328","1","6,7","3,7","24","85 ( ENE )","8 ( NNE )","0","3,9","26,2","28,6","24,5","88,5","0"
