"Foncea - Datos Diarios - Fecha-Hora desde: 14-06-2006 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"15-06-2006","20,8","26,7","13,5","46","91","29","20,45","2,2","7,1","8","25,5","316 ( NNW )","19 ( NNE )","12,9","5","23","26,3","19,9","0","0"
"16-06-2006","17,5","25,1","13,5","79","97","38","20,75","2,3","9,5","8,4","34,3","85 ( ENE )","1 ( NNE )","22,6","4,6","20,9","23,8","18,9","0","0"
"17-06-2006","16,5","21,1","11,9","85","98","64","17,99","2,4","7,8","8,7","28,2","298 ( WNW )","9 ( NNE )","0","3,3","19,3","21,7","17","0","0"
"18-06-2006","19,7","26,7","14,8","72","91","38","22,64","1,9","6,3","7","22,7","2 ( NNE )","13 ( NNE )","0","4,9","20,8","24,6","17,5","0","0"
"19-06-2006","18,7","28","14,3","81","97","33","26,73","3,1","11,7","11","42,1","82 ( ENE )","33 ( NNE )","12,3","6,1","22","27,3","18,6","0","0"
"20-06-2006","16","21,5","13","85","98","60","24,36","3,3","9,1","11,7","32,9","355 ( NNW )","31 ( NNE )","3","4,1","19,9","22,8","17,7","0","0"
"21-06-2006","18,5","28,8","12,9","73","94","30","28,69","2,6","10","9,4","36,1","68 ( ENE )","8 ( NNE )","0","6,3","21","26,2","17,1","0","0"
"22-06-2006","16","22,2","11,6","77","92","53","27,48","2,9","8,9","10,5","32","31 ( NNE )","50 ( ENE )","0","4,7","21","25,5","17,5","0","0"
"23-06-2006","18,7","29,2","10,8","75","95","39","26,91","2,4","7,7","8,8","27,7","272 ( WNW )","338 ( NNW )","7,1","5,8","21,8","27,5","17,4","0","0"
"24-06-2006","15,4","19,3","13,4","92","96","77","9,85","3,9","10,9","14,2","39,2","355 ( NNW )","50 ( ENE )","15","2,1","19,2","21,4","17,3","0","0"
"25-06-2006","16,1","22,7","11,8","78","96","50","27,06","3,1","8,3","11,2","29,7","18 ( NNE )","24 ( NNE )","0,2","4,8","18,9","22,6","16","0","0"
"26-06-2006","15,9","21,3","12,9","80","94","61","21,63","3,7","8,4","13,5","30,2","59 ( ENE )","46 ( ENE )","0","3,9","19,2","22,5","16,7","0","0"
"27-06-2006","15,2","20,1","12,4","85","94","67","20,32","3,6","7,4","12,8","26,7","25 ( NNE )","20 ( NNE )","0","3,4","19,2","22,5","16,7","0","0"
"28-06-2006","16,6","24,1","13,9","84","96","57","19,72","3","9,1","10,8","32,6","335 ( NNW )","13 ( NNE )","0","4","19,9","24","17,5","0","0"
"29-06-2006","16,2","21,3","13,3","81","92","64","20,5","2,9","8,1","10,5","29,3","45 ( NE )","27 ( NNE )","0","3,7","20,3","24,1","17,9","0","0"
"30-06-2006","20,8","29,8","11,5","64","91","35","30,16","2,3","7,2","8,4","25,8","55 ( ENE )","352 ( NNW )","0","6,4","22,1","27,5","17","0","0"
"01-07-2006","24,2","32,4","16,3","59","92","25","26,94","1,8","7,4","6,4","26,5","285 ( WNW )","140 ( SSE )","0","6,2","24,8","29,5","20,7","0","0"
"02-07-2006","22,6","32,9","15,8","65","93","15","26,7","3,3","10,8","12","39","347 ( NNW )","12 ( NNE )","0","7,9","25,1","29,4","21,5","0","0"
"03-07-2006","18,8","26,6","15,1","75","90","43","26,08","3,2","9,6","11,5","34,7","75 ( ENE )","343 ( NNW )","0","5,6","24","28,4","21","0","0"
"04-07-2006","18,2","27,4","13,9","76","90","38","23,89","3,2","11,5","11,4","41,4","305 ( WNW )","29 ( NNE )","0,6","5,7","23,1","27,5","20,1","0","0"
"05-07-2006","16,5","23,5","10,8","76","96","45","24,67","2,3","8,7","8,4","31,3","54 ( ENE )","344 ( NNW )","0","4,6","22,2","26,6","18,7","0","0"
"06-07-2006","16,8","23","12,6","71","89","44","23,99","1,9","7,7","7","27,9","351 ( NNW )","26 ( NNE )","0","4,5","22,3","26,6","19,5","0","0"
"07-07-2006","19,2","26,7","12,7","66","89","39","29,71","1,9","7,4","6,8","26,7","20 ( NNE )","12 ( NNE )","0","5,6","23,6","28,5","19,9","0","0"
