"Igea - Datos Diarios - Fecha-Hora desde: 07-12-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"08-12-2005","6,9","10,3","2,3","79","93","62","3,05","1,6","7","5,7","25","56 ( ENE )","253 ( WSW )","0","0,8","5,6","6,8","4,2","144,99","0"
"09-12-2005","8,3","9,9","5,2","63","78","45","4,69","3,1","9,4","11,1","33,9","49 ( ENE )","25 ( NNE )","0","1,5","6,8","7,8","5,3","27","0"
"10-12-2005","6,3","10,4","-0,2","36","56","23","9,09","2,4","7,7","8,8","27,7","320 ( NNW )","273 ( WNW )","0","1,6","4,6","6,3","3,1","0","0"
"11-12-2005","3,5","12,7","-4,9","49","86","12","9,08","2,3","11,1","8,3","40,1","83 ( ENE )","318 ( NNW )","0","1,8","2,8","4,6","1","0","0"
"12-12-2005","5,7","8,5","3,6","57","72","40","7,89","3,2","9,9","11,6","35,6","57 ( ENE )","334 ( NNW )","0","1,5","4","5,7","2,9","0","0"
"13-12-2005","4,6","6","2,1","70","82","43","3,5","3,3","10,8","11,9","38,7","301 ( WNW )","338 ( NNW )","0","1,3","3,8","4,9","2,5","155,97","0"
"14-12-2005","4,3","6,5","2,9","69","82","51","8,45","4,1","11","14,7","39,5","47 ( ENE )","305 ( WNW )","0","1,2","4,7","5,9","4,2","0","0"
"15-12-2005","3,2","5,7","1,4","67","79","55","5,18","3,4","9,8","12,2","35,4","51 ( ENE )","340 ( NNW )","0","1,1","4","5,2","2,8","0","0"
"16-12-2005","3,4","9,7","-4","73","98","46","8,49","1,9","8,3","6,7","30","328 ( NNW )","331 ( NNW )","0","0,8","2,7","4,6","0,9","62,01","0"
"17-12-2005","8,7","10,9","6,7","69","77","61","2,83","3,9","11","14,1","39,7","330 ( NNW )","317 ( NNW )","0","1,5","5,8","7,1","3,7","17,01","0"
"18-12-2005","4,6","7,7","-1,1","72","91","54","7,97","2,4","9,7","8,6","35,1","77 ( ENE )","329 ( NNW )","0,4","0,8","5,4","6,4","3,7","227,01","0"
"19-12-2005","0,3","6,6","-3","83","95","60","8,45","1","4","3,6","14,5","76 ( ENE )","104 ( ESE )","0","0,4","2,5","4,3","1,1","53,01","0"
