"Leiva - Datos Diarios - Fecha-Hora desde: 08-11-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"09-11-2005","7,2","10","5,8","73","86","61","6,73","3,6","9,6","12,8","34,5","73 ( ENE )","275 ( WNW )","2,4","1,4","8,3","9,9","7,3","406,98","0"
"10-11-2005","7","10,8","1,8","72","89","45","9,27","2,3","7,6","8,4","27,5","333 ( NNW )","337 ( NNW )","0,8","1,3","8,4","13,5","6,2","323,91","0"
"11-11-2005","5,6","12,8","0,1","79","93","52","11,91","1,7","5","6","18","26 ( NNE )","243 ( WSW )","0","1,1","7,4","11,4","4,1","0","0"
"12-11-2005","4,4","6,5","2,6","90","94","82","1,68","1,4","4,2","4,9","15,2","274 ( WNW )","316 ( NNW )","14,1","0,6","7","9,5","5,8","892,08","0"
"13-11-2005","4","6,1","1,8","92","95","87","1,12","1,9","6,4","7","23,1","340 ( NNW )","40 ( NNE )","36","0,5","8,9","10,6","7,9","783","0"
"14-11-2005","7,8","11","5,6","91","97","81","2,36","1,6","6,7","5,8","24,1","322 ( NNW )","46 ( ENE )","2,6","0,6","8,8","10","8","835,89","0"
"15-11-2005","8,2","9,7","6","92","97","82","0,46","2,1","7,1","7,6","25,6","70 ( ENE )","7 ( NNE )","47,9","0,6","9","9,3","8,1","750,09","0"
"16-11-2005","8","10,8","6,2","87","96","71","3,31","3,1","8,5","11,3","30,6","324 ( NNW )","252 ( WSW )","1,6","1","8,3","9,6","7,6","523,92","0"
"17-11-2005","8,6","11,8","6,4","84","95","66","4,45","1,9","5,4","6,9","19,5","289 ( WNW )","266 ( WSW )","0","0,9","8,9","10,4","7,8","0","0"
"18-11-2005","7,2","11,3","3,3","85","97","62","9,28","0,8","3,3","3","12","282 ( WNW )","243 ( WSW )","0","0,6","8,9","11,5","7,2","127,08","0"
"19-11-2005","4,2","6,7","1,2","96","99","90","1,73","1,8","5,5","6,5","19,7","338 ( NNW )","88 ( ENE )","0","0,4","6,4","7,2","5,4","938,91","0"
"20-11-2005","7,5","9,6","5,7","93","99","82","2,97","3,1","8,8","11,1","31,7","348 ( NNW )","97 ( ESE )","0","0,6","7,9","9","7,1","64,98","0"
"21-11-2005","8,5","10,5","7,1","92","96","84","1,45","2,5","7,4","8,9","26,7","42 ( NNE )","82 ( ENE )","0","0,7","8,7","9,4","8,2","0","0"
"22-11-2005","7,6","12,2","1,8","81","96","42","10,86","1,7","6,7","6,2","24,1","16 ( NNE )","15 ( NNE )","0","1","8,9","11,2","6,3","0","0"
"23-11-2005","4,1","7,4","1,2","77","94","60","9,06","1,7","7","6,2","25","5 ( NNE )","6 ( NNE )","0","0,7","6","8,2","4,7","0","0"
"24-11-2005","5","6,5","3,9","76","84","66","1,79","2,5","9,1","9","32,9","337 ( NNW )","225 ( SW )","0","0,9","5,7","6,3","5,3","0","0"
"25-11-2005","4,2","6,5","0,9","78","93","65","2,01","5,8","14,1","20,9","50,9","300 ( WNW )","255 ( WSW )","4,4","1,1","5,1","5,8","3,8","259,98","0"
"26-11-2005","1,3","3,4","-0,4","83","95","74","3,71","5,6","12,6","20,2","45,5","296 ( WNW )","224 ( SSW )","0,4","0,7","2,9","3,9","2,1","437,01","0"
