"Rincón de Soto - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","9,5","14,4","5,9","77","88","59","8,61","2,4","8,3","8,6","29,9","340 ( NNW )","140 ( SSE )","0","1,1","8,5","9,5","7,7","0","0"
"02-01-2005","9","14,2","6,2","77","86","61","5,01","1,8","7,6","6,4","27,5","339 ( NNW )","114 ( ESE )","0","1","8","9,1","7,3","0","0"
"03-01-2005","6,7","12,2","-1,3","76","97","46","8,75","1,4","6,4","4,9","23,1","307 ( WNW )","152 ( SSE )","0","0,7","7,5","8,5","6,5","0","0"
"04-01-2005","0,7","7,1","-3,1","93","99","73","5,83","0,3","2,6","1,2","9,5","23 ( NNE )","110 ( ESE )","0","0,3","5,2","6,5","4,1","0","0"
"05-01-2005","0,7","8,6","-3,3","93","100","61","6,05","0,5","4,1","1,8","14,7","295 ( WNW )","123 ( ESE )","0,2","0,4","4,2","5,5","3,2","0","0"
"06-01-2005","7,6","15","1,1","79","97","59","7,68","1,2","5,5","4,2","19,7","81 ( ENE )","136 ( SSE )","0","0,7","5,5","7,6","4","0","0"
"07-01-2005","1,2","2,3","-0,2","99","99","96","1,79","0,5","2,6","1,8","9,3","33 ( NNE )","267 ( WSW )","0,6","0,3","5,2","6,1","4,8","0","0"
"08-01-2005","1,7","4,1","-1","97","99","87","3,29","0,6","3,1","2,2","11","41 ( NNE )","77 ( ENE )","0,2","0,3","5","5,5","4,6","0","0"
"09-01-2005","0,5","1,7","-1,1","96","99","92","1,44","0,7","3","2,5","10,7","25 ( NNE )","340 ( NNW )","0","0,3","4,4","4,6","3,9","0","0"
"10-01-2005","-1","-0,2","-2","95","98","90","1,51","0,9","3,6","3,4","13","334 ( NNW )","349 ( NNW )","0","0,3","3,3","3,9","3","0","0"
"11-01-2005","-1","0,1","-2,3","95","98","92","2,16","0,7","3","2,6","10,7","72 ( ENE )","360 ( N )","0","0,3","2,8","3,1","2,5","0","0"
"12-01-2005","0,7","7,1","-2,2","97","100","87","3,35","0,6","3,5","2","12,8","271 ( WNW )","90 ( E )","0","0,4","3,1","3,9","2,5","0","0"
"13-01-2005","3,9","7,7","-0,3","96","99","86","2,94","0,8","4,5","2,9","16,2","322 ( NNW )","65 ( ENE )","0,2","0,4","4,2","4,8","3,5","0","0"
"14-01-2005","1,8","2,5","0,5","99","100","99","2,12","0,5","2,4","1,9","8,7","294 ( WNW )","314 ( WNW )","0,4","0,3","4,6","4,9","4,2","0","0"
"15-01-2005","1,9","2,8","0,9","99","100","97","1,72","0,9","3,7","3,1","13,3","281 ( WNW )","312 ( WNW )","0,2","0,3","4,4","4,6","4,1","0","0"
"16-01-2005","2,7","3,6","2,1","97","99","93","1,29","0,4","2,5","1,5","9","58 ( ENE )","349 ( NNW )","0,6","0,4","4,6","4,9","4,4","0","0"
"17-01-2005","2,1","3,1","1","95","98","88","2,59","0,6","2,5","2,1","9","320 ( NNW )","119 ( ESE )","0","0,4","4,6","5","4,2","0","0"
"18-01-2005","4,2","11,8","-1,1","88","100","56","7,15","2","11,3","7,3","40,8","311 ( WNW )","156 ( SSE )","2,4","1","4,9","6,1","3,9","0","0"
"19-01-2005","9","13,4","4,7","77","89","65","5,09","3,6","10,8","13,1","38,9","50 ( ENE )","91 ( ESE )","0,2","1,3","6,1","7,6","5","0","0"
"20-01-2005","11,5","15,1","7,3","75","91","63","5,3","2,1","8,9","7,7","32","344 ( NNW )","99 ( ESE )","0","1,1","8,2","9,2","7,6","0","0"
"21-01-2005","8,3","13,2","5","79","91","59","9,58","2,1","8,2","7,6","29,3","329 ( NNW )","93 ( ESE )","0","1,1","7,6","8,8","6,5","0","0"
