"Santa Engracia del Jubera - Datos Diarios - Fecha-Hora desde: 17-12-2010 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"18-12-2010","1,6","5,3","-1,8","80","90","65","8,577","2,7","8,1","9,8","29,1","304 ( WNW )","111 ( ESE )","0","0,6","1","2,6","0,4","100,92","0"
"19-12-2010","0","4,8","-3,7","91","100","77","6,072","1","4,9","3,7","17,6","12 ( NNE )","308 ( WNW )","0","0,3","0,8","1,9","0,3","216,999","0"
"20-12-2010","2,6","8,9","-2,9","82","100","58","7,852","1,5","5,6","5,3","20,2","304 ( WNW )","93 ( ESE )","0","0,6","1,1","3","0,3","292,003","0"
"21-12-2010","4,5","6,9","1,8","95","100","74","2,516","3,4","10,4","12,2","37,3","65 ( ENE )","129 ( ESE )","3,2","0,7","3,4","4,9","1,9","788,083","0"
"22-12-2010","8,6","14,1","4,8","88","100","55","5,306","3,7","12","13,1","43,1","276 ( WNW )","129 ( ESE )","1,2","1,4","6,3","8,5","4,5","726","0"
"23-12-2010","4,9","7,7","2,4","90","100","82","2,447","5,8","11","20,7","39,7","3 ( NNE )","301 ( WNW )","3,7","0,6","5,4","6,8","3,7","1111,997","0"
"24-12-2010","2,2","4,1","0,8","84","96","74","2,886","6,3","12,1","22,7","43,5","59 ( ENE )","301 ( WNW )","0,2","0,8","2,8","3,7","2,1","663,919","0"
"25-12-2010","0","2,5","-3,3","78","97","56","7,507","3,6","8,3","12,9","29,7","357 ( NNW )","318 ( NNW )","0","0,7","1,6","2,6","0,8","0","0"
"26-12-2010","-1","5,3","-6,3","62","85","27","9,069","3,3","9,8","11,7","35,4","321 ( NNW )","304 ( WNW )","0","1,3","0,2","0,8","-0,1","0","0"
"27-12-2010","-0,5","3,3","-4,4","66","83","47","7,687","1,3","4,3","4,5","15,6","24 ( NNE )","124 ( ESE )","0","0,5","-0,2","0","-0,5","0","0"
"28-12-2010","3,2","9,4","-1,4","63","85","45","7,547","1,3","5","4,8","17,9","280 ( WNW )","103 ( ESE )","0","0,7","-0,1","0,1","-0,2","0","0"
"29-12-2010","3,5","8,5","-0,5","70","87","49","6,98","1,1","4,6","3,9","16,4","81 ( ENE )","119 ( ESE )","0","0,6","1,5","3,9","0,1","0","0"
"30-12-2010","5,1","8,4","2,3","86","96","73","3,729","5,2","11,8","18,7","42,3","345 ( NNW )","118 ( ESE )","0","0,9","2,9","4,4","1,4","0","0"
"31-12-2010","6,2","9,3","3,3","90","100","79","6,081","2,2","7,5","8","26,8","7 ( NNE )","82 ( ENE )","0","0,5","4,7","6,9","3,6","391,08","0"
"01-01-2011","7,2","11,2","5","88","100","67","6,413","2,2","6,2","7,9","22,3","28 ( NNE )","274 ( WNW )","0","0,7","5,8","7,4","4,7","641,92","0"
"02-01-2011","6,5","9,1","3","85","93","70","3,819","4,3","9,9","15,6","35,5","77 ( ENE )","292 ( WNW )","0","1","5,9","7","4,5","129","0"
"03-01-2011","2,8","5,8","0,4","79","93","61","7,467","3,7","9,8","13,3","35,1","278 ( WNW )","320 ( NNW )","0","0,9","3,6","5,2","2,5","41","0"
"04-01-2011","2,8","7,3","-0,1","89","100","74","3,514","1,2","4,1","4,4","14,6","277 ( WNW )","129 ( ESE )","1","0,5","3,5","5,4","2,2","462,083","0"
"05-01-2011","3,6","5,5","2,5","100","100","98","1,67","1","5,2","3,5","18,6","23 ( NNE )","144 ( SSE )","3,9","0,3","4,4","5,4","3,6","1147,997","0"
"06-01-2011","8,2","12,6","4,6","96","100","79","3,456","1,1","4,2","4","15,1","86 ( ENE )","182 ( SSW )","0,4","0,5","6,4","8,4","4,7","1241","0"
"07-01-2011","12,5","16,2","8,7","67","87","41","3,266","2,9","8,9","10,4","32","272 ( WNW )","242 ( WSW )","0","1,9","8,1","9,6","6,6","41,92","0"
