"San Vicente de la Sonsierra - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","6,7","9,9","3,7","86","96","74","8,12","3,5","8,6","12,6","31","15 ( NNE )","92 ( ESE )","0","0,7","6,8","7,8","6,2","0","0"
"02-01-2005","6,6","10","4,7","87","97","73","3,53","2,7","8,7","9,6","31,5","334 ( NNW )","178 ( SSE )","1","0,7","6,3","7,2","5,8","0","0"
"03-01-2005","5,7","10,1","1,9","83","97","58","7,44","1,8","5,9","6,3","21,4","322 ( NNW )","193 ( SSW )","1,2","0,7","6,4","7,8","5,6","0","0"
"04-01-2005","1,3","6,8","-1","95","100","74","5,85","1,1","3,5","3,9","12,6","310 ( WNW )","299 ( WNW )","0,2","0,4","4,3","5,6","3,2","0","0"
"05-01-2005","3,5","10,4","-1,2","84","100","57","8,23","2,9","10,4","10,6","37,5","68 ( ENE )","113 ( ESE )","0,2","1","3,9","5,5","2,5","0","0"
"06-01-2005","5,9","11","1,9","85","96","70","4,72","1,8","3,7","6,5","13,3","39 ( NNE )","131 ( ESE )","0","0,7","4,9","6,6","3,8","0","0"
"07-01-2005","2,3","4,6","-1","98","100","92","5,52","1,7","4,9","6,3","17,8","342 ( NNW )","306 ( WNW )","0,2","0,3","4,5","5,5","3,3","0","0"
"08-01-2005","1,3","3,8","0","96","100","82","5,95","1,7","5,5","6","20","288 ( WNW )","136 ( SSE )","0,2","0,4","4,2","5,4","3,5","0","0"
"09-01-2005","-1,9","0,2","-4,9","95","100","73","2,56","2,2","5,5","8","19,9","295 ( WNW )","297 ( WNW )","0","0,5","2,1","3,6","1,6","0","0"
"10-01-2005","-2,2","-1","-3,1","99","100","96","2,64","2,7","6,9","9,7","25","317 ( NNW )","301 ( WNW )","0","0,2","1,4","1,6","1,3","0","0"
"11-01-2005","0,9","6,5","-4","89","100","71","6,55","2,4","7,9","8,5","28,4","310 ( WNW )","92 ( ESE )","0,2","0,6","1,8","3","1","0","0"
"12-01-2005","5,7","9,7","0,4","84","97","70","5,86","3,6","10","13","35,9","15 ( NNE )","134 ( ESE )","0","0,9","3,4","5,1","2,1","0","0"
"13-01-2005","8,3","11,8","5,8","84","96","69","5,85","3,2","9,5","11,4","34,2","63 ( ENE )","135 ( SE )","0","1","5,6","6,9","4,7","0","0"
"14-01-2005","3,4","6","1,2","98","99","92","5,05","1,4","4,9","5,2","17,7","87 ( ENE )","301 ( WNW )","0","0,4","5,5","6,2","4,6","0","0"
"15-01-2005","1,3","2,3","0,2","100","100","99","1,69","2,7","6,5","9,9","23,4","326 ( NNW )","304 ( WNW )","0,2","0,2","4,2","5,3","3,8","0","0"
"16-01-2005","1,4","2,3","0,4","100","100","100","2,03","1,1","3,9","3,9","14,1","13 ( NNE )","117 ( ESE )","0,2","0,3","3,8","4,2","3,5","0","0"
"17-01-2005","1,9","6,8","-1,1","97","100","87","5,64","1,3","6,3","4,7","22,7","292 ( WNW )","129 ( ESE )","0,4","0,4","3,9","5,3","3,1","0","0"
"18-01-2005","3,7","6,6","1,2","87","95","77","5,79","5,6","13,6","20,1","49,1","303 ( WNW )","110 ( ESE )","2,2","0,8","3,7","4,5","2,8","0","0"
"19-01-2005","6,4","10","2,7","91","97","80","2,91","5,4","12","19,5","43,2","37 ( NNE )","122 ( ESE )","9,4","0,8","4,6","6,1","3,6","0","0"
"20-01-2005","9,6","12,3","5","82","94","67","5,38","3,7","15,2","13,4","54,8","282 ( WNW )","138 ( SSE )","3,8","1,2","7,1","8,2","6,1","0","0"
"21-01-2005","6,6","9,9","3,8","84","97","68","4,6","3","6,8","10,7","24,5","354 ( NNW )","162 ( SSE )","0","0,9","6,3","7,3","5,5","0","0"
"22-01-2005","6,9","8,9","5,4","82","90","68","2,82","2,2","5,5","7,9","19,7","354 ( NNW )","102 ( ESE )","0","0,9","6,2","6,8","5,7","0","0"
"23-01-2005","6,8","10,8","2,1","79","92","62","7,91","2,9","9,2","10,6","33,1","17 ( NNE )","128 ( ESE )","0","1,1","6,6","7,8","5,3","0","0"
"24-01-2005","1,5","4,7","-1","78","98","58","2,95","4,2","12","15,1","43,1","62 ( ENE )","160 ( SSE )","0,8","1","4,8","7,2","3,2","0","0"
"25-01-2005","-0,6","1,2","-1,8","86","99","68","7,35","4,6","12","16,6","43,1","49 ( ENE )","167 ( SSE )","2","0,7","2,7","3,2","2,3","0","0"
"26-01-2005","-2,8","-0,2","-4,6","86","99","66","7,86","5,8","15","20,9","53,9","308 ( WNW )","222 ( SSW )","0","0,7","2,1","2,3","1,8","0","0"
"27-01-2005","-2,4","-0,3","-4","76","98","57","8,05","3,4","10,9","12,2","39,1","297 ( WNW )","98 ( ESE )","0,6","0,7","1,7","1,8","1,5","0","0"
"28-01-2005","0,2","3","-3,7","86","96","68","5,44","3,1","9,7","11,1","34,8","54 ( ENE )","125 ( ESE )","6,8","0,7","1,4","1,5","1,3","0","0"
"29-01-2005","2,1","4,1","0,6","84","97","62","3,35","3,9","13,7","13,9","49,2","349 ( NNW )","136 ( SSE )","3,2","0,9","1,9","2,5","1,4","0","0"
"30-01-2005","1,2","3,3","-0,2","70","97","43","11,84","2,6","10,9","9,5","39,2","283 ( WNW )","179 ( SSE )","0","1","2,3","3,7","1,4","0","0"
"31-01-2005","3","4,6","0,6","82","96","65","3,16","2,5","9,5","8,9","34,2","26 ( NNE )","125 ( ESE )","1,2","0,8","2,7","3,3","2,1","0","0"
"01-02-2005","4,4","7,1","2,2","90","97","78","8,25","3,3","9,4","11,9","33,7","81 ( ENE )","126 ( ESE )","1,4","0,8","4","5,7","2,9","0","0"
"02-02-2005","4,9","7","2,3","71","90","55","12,35","3,5","9,4","12,5","33,9","303 ( WNW )","165 ( SSE )","0","1,3","5,3","6,6","4,5","0","0"
"03-02-2005","3,5","5,6","1,2","84","94","73","5,16","2,7","7","9,8","25,1","31 ( NNE )","98 ( ESE )","0,2","0,8","3,8","4,7","2,8","0","0"
"04-02-2005","2,7","5,1","-1","72","86","56","4,7","1,9","6,6","6,8","23,6","26 ( NNE )","224 ( SSW )","0","0,9","3,2","4","2,5","0","0"
"05-02-2005","0,9","5,4","-3,4","83","95","66","9,2","1,2","4,5","4,4","16,3","354 ( NNW )","329 ( NNW )","0","0,7","2,4","3,6","1,3","0","0"
"06-02-2005","3","6,4","-1,2","89","98","77","5,55","3,8","11,5","13,5","41,5","62 ( ENE )","273 ( WNW )","4,8","0,8","2,7","3,9","1,7","0","0"
"07-02-2005","5,1","8","3,1","83","92","67","10,62","5,9","11,6","21,3","41,8","65 ( ENE )","255 ( WSW )","0","1,3","4,1","5,4","3,1","0","0"
"08-02-2005","6","10,1","2,2","79","94","62","11,9","4,3","10,5","15,5","37,8","15 ( NNE )","281 ( WNW )","0","1,4","4,7","6,5","3,4","0","0"
"09-02-2005","4,3","11,8","-1","81","98","52","12,19","1,3","3,5","4,8","12,8","286 ( WNW )","342 ( NNW )","0","1,1","4,6","7,2","2,5","0","0"
"10-02-2005","5,2","13,5","-1,7","71","98","31","12,96","2,2","6,6","8","23,6","88 ( ENE )","111 ( ESE )","0,2","1,8","4,8","7","2,8","0","0"
"11-02-2005","7,2","14,2","-0,2","62","91","31","11,61","2,8","7,3","10","26,2","81 ( ENE )","121 ( ESE )","0","2,1","5,3","7,4","3,1","0","0"
"12-02-2005","8,6","13,8","4,1","66","81","42","7,58","3,1","8,2","11,2","29,5","359 ( NNW )","146 ( SSE )","0","2","6,5","7,9","5,3","0","0"
"13-02-2005","8","10,7","2,8","74","89","57","5,15","6,4","21,6","23,1","77,8","310 ( WNW )","142 ( SSE )","8","1,8","7","7,6","6,1","0","0"
"14-02-2005","3,5","6,6","0,4","80","96","61","8,08","6,9","16,3","24,8","58,7","296 ( WNW )","144 ( SSE )","9,4","1,3","4,8","6,1","3,9","0","0"
"15-02-2005","2","4,2","0,3","84","95","68","9,45","6,4","15,2","23","54,7","345 ( NNW )","176 ( SSE )","13,1","1,1","3,7","4,6","3","0","0"
"16-02-2005","0,9","3,2","-0,3","81","99","64","6,17","3,6","12,3","12,9","44,4","352 ( NNW )","144 ( SSE )","0,4","0,9","2,5","3","2","0","0"
"17-02-2005","0,7","1,6","-0,2","79","88","71","2,78","3,1","10,2","11,1","36,8","298 ( WNW )","134 ( ESE )","1,2","0,8","1,9","2,1","1,6","0","0"
"18-02-2005","1,5","3,5","-0,3","80","89","66","5,17","2,4","7","8,6","25,3","319 ( NNW )","143 ( SSE )","0,8","0,9","2","2,9","1,3","0","0"
"19-02-2005","3,7","6,4","1,5","87","95","72","4,17","5","15,9","18,1","57,2","76 ( ENE )","138 ( SSE )","4,2","1","3,1","4,1","2,4","0","0"
"20-02-2005","2,6","5,8","-0,7","90","98","78","5,66","4,9","10,5","17,6","37,7","322 ( NNW )","137 ( SSE )","7,6","0,8","3,6","4,5","3,2","0","0"
"21-02-2005","0","3,6","-3,3","80","95","53","12,36","3,2","8,9","11,4","32,2","336 ( NNW )","105 ( ESE )","0,2","1,2","2,7","4","1,8","0","0"
"22-02-2005","-0,8","1","-3,8","88","99","71","6,91","2,5","11,2","8,9","40,4","38 ( NNE )","277 ( WNW )","1,8","0,7","1,9","2,8","1,5","0","0"
"23-02-2005","-2,6","2,5","-9,2","84","98","64","15,13","1,2","3,5","4,4","12,8","88 ( ENE )","81 ( ENE )","0,4","0,9","1,3","1,5","1,2","0","0"
"24-02-2005","-0,4","5,1","-5,1","80","97","49","15,22","1,7","5,9","6","21,3","304 ( WNW )","106 ( ESE )","0","1,2","1,1","1,3","1","0","0"
"25-02-2005","0,4","6,2","-5,1","72","95","41","16,29","2","9,6","7,3","34,6","329 ( NNW )","125 ( ESE )","0","1,4","1,2","2,3","0,7","0","0"
"26-02-2005","2,7","7,4","-0,4","62","79","37","11,93","3,5","10,5","12,6","37,7","340 ( NNW )","123 ( ESE )","0","2","1,8","3,1","0,9","0","0"
"27-02-2005","0,5","5,4","-2,9","77","93","48","11,74","2,9","9,2","10,6","33,2","84 ( ENE )","142 ( SSE )","0,2","1,4","2","3,2","1","0","0"
"28-02-2005","-3,8","-1,4","-5,7","59","80","32","16,24","4,2","14,1","15,1","50,9","314 ( WNW )","179 ( SSE )","0","1,5","1,3","2,3","0,9","0","0"
"01-03-2005","-2","5,1","-8,2","55","80","28","17,11","2,3","7,9","8,3","28,3","67 ( ENE )","207 ( SSW )","0","1,7","0,5","0,9","0,3","0","0"
"02-03-2005","1","8,3","-6,1","59","85","29","16,75","2,1","8,9","7,5","32,2","16 ( NNE )","100 ( ESE )","0","1,8","0,8","2,1","0,3","0","0"
"03-03-2005","1,6","5,9","-1,4","74","98","53","11,86","4,6","11,9","16,5","42,8","320 ( NNW )","129 ( ESE )","0","1,5","1,9","3,4","1","0","0"
"04-03-2005","-0,1","3,1","-2,3","78","98","58","7,71","3,6","11","12,8","39,6","80 ( ENE )","173 ( SSE )","0,2","1,1","1,9","2,4","1,4","0","0"
"05-03-2005","1,8","6,9","-1,7","85","95","74","6,14","6,4","14,1","22,9","50,6","86 ( ENE )","129 ( ESE )","1,4","1,1","1,6","2,6","1","0","0"
"06-03-2005","2,1","5,3","-0,2","85","97","68","11,79","4","11","14,4","39,6","342 ( NNW )","147 ( SSE )","8,4","1,2","2,7","4,1","1,8","0","0"
"07-03-2005","0,1","3,6","-2,2","66","87","43","16,74","2,9","8,9","10,3","32,2","74 ( ENE )","154 ( SSE )","0,2","1,6","2,7","4,4","1,6","0","0"
"08-03-2005","1,6","5,9","-1,5","68","86","50","19,48","2,5","9,3","9,1","33,6","290 ( WNW )","143 ( SSE )","0","1,7","3,3","5,5","1,7","0","0"
"09-03-2005","2,5","10,3","-3,7","69","91","34","18,85","3,6","9,2","12,8","33","69 ( ENE )","137 ( SSE )","0","2,4","3,5","5,7","1,8","0","0"
"10-03-2005","4,1","11,7","-0,4","65","88","33","19,22","4","8,7","14,5","31,3","34 ( NNE )","143 ( SSE )","0","2,8","4,3","6,7","2,4","0","0"
