"Sto.Domingo de la Calzada - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","6","8,6","3,3","80","89","73","8,894","3,1","8,3","11,3","29,7","350 ( NNW )","309 ( WNW )","0","0,7","6,3","7","5,6","0","0"
"02-01-2005","6,8","10,6","4,5","82","92","70","3,571","2,3","7,7","8,2","27,7","318 ( NNW )","197 ( SSW )","1,6","0,8","6,5","7,6","5,6","0","0"
"03-01-2005","4,9","7,7","1,3","83","91","64","7,02","1,2","4,7","4,4","17","315 ( NW )","213 ( SSW )","0,2","0,5","6,4","7,6","5,1","0","0"
"04-01-2005","1,7","6,9","-0,4","89","95","71","7,795","1,4","4,4","4,9","15,9","60 ( ENE )","217 ( SSW )","0","0,4","4,7","5,8","3,8","0","0"
"05-01-2005","3,5","11","-0,2","74","89","53","8,975","2,3","8,7","8,4","31,3","339 ( NNW )","302 ( WNW )","0","1","4","5,7","2,8","0","0"
"06-01-2005","6,1","12,2","2,9","77","87","61","5,373","2","7","7,2","25,2","360 ( N )","196 ( SSW )","0","1","5,2","7,4","3,7","0","0"
"07-01-2005","3,6","8,7","0,4","86","96","71","9,383","1,8","5,5","6,5","19,9","29 ( NNE )","189 ( SSW )","0,2","0,5","5","6,3","3,8","0","0"
"08-01-2005","1,1","7,4","-2,1","91","98","71","6,275","1,2","4,4","4,5","15,9","50 ( ENE )","200 ( SSW )","0","0,5","4,7","6","3,7","0","0"
"09-01-2005","-2,3","-0,2","-4,1","90","96","70","4,56","1,3","3,7","4,8","13,2","25 ( NNE )","199 ( SSW )","0","0,4","2,7","3,7","2,1","0","0"
"10-01-2005","-3","-0,6","-4,9","95","96","94","5,126","1,3","5,5","4,8","19,8","300 ( WNW )","73 ( ENE )","0","0,2","2,6","3,6","2","0","0"
"11-01-2005","0,4","5,8","-3,7","82","96","63","7,365","1,5","6,3","5,5","22,6","349 ( NNW )","278 ( WNW )","0,2","0,6","2,4","3,7","1,4","0","0"
"12-01-2005","5","10,8","-0,9","82","93","67","6,301","2,2","8,5","7,9","30,5","52 ( ENE )","281 ( WNW )","0","0,8","3,5","5,2","1,9","0","0"
"13-01-2005","7,5","11,9","4,1","80","92","64","6,4","1,6","7,9","5,8","28,6","299 ( WNW )","285 ( WNW )","0","0,8","5,6","7","4,7","0","0"
"14-01-2005","5,3","12,5","1,1","85","96","62","8,901","1,5","5","5,3","18,1","3 ( NNE )","15 ( NNE )","0","0,8","5,3","7,1","3,9","0","0"
"15-01-2005","0,8","1,6","-0,4","97","98","96","2,164","1,1","3,1","4","11,3","79 ( ENE )","71 ( ENE )","0,2","0,3","4,7","5,2","4,3","0","0"
"16-01-2005","0,5","2,3","-1,3","99","100","98","3,238","1","3","3,5","10,8","7 ( NNE )","241 ( WSW )","0,2","0,3","4,4","5,2","3,8","0","0"
"17-01-2005","2,3","10,1","-3,1","89","100","65","9,867","1","4","3,5","14,4","52 ( ENE )","204 ( SSW )","0,2","0,5","3,9","5,7","2,5","0","0"
"18-01-2005","3,8","8,3","-0,3","78","90","65","4,853","4","12,9","14,3","46,4","28 ( NNE )","268 ( WSW )","0","1,1","3,6","4,5","2,6","0","0"
"19-01-2005","6,5","9,7","2,8","78","84","68","2,889","5,1","10,5","18,4","37,6","3 ( NNE )","262 ( WSW )","1,4","1,3","4,6","6","3,6","0","0"
"20-01-2005","8,6","11,5","4,2","77","89","64","4,854","2,4","7,1","8,5","25,7","10 ( NNE )","298 ( WNW )","0,2","1","6,4","7,5","5,7","0","0"
"21-01-2005","5,5","9,6","2,7","79","88","63","10,267","2,6","7,8","9,2","28,2","53 ( ENE )","196 ( SSW )","0","1","5,8","7,4","4,9","0","0"
"22-01-2005","5,9","8,3","3,3","74","85","59","3,316","2,6","7,5","9,5","27","40 ( NNE )","195 ( SSW )","0","1,1","5,7","6,5","4,9","0","0"
"23-01-2005","5,7","9,9","0,6","74","88","58","10,242","2,8","7,3","10","26,2","27 ( NNE )","332 ( NNW )","0,2","1,1","5,7","7","4,1","0","0"
"24-01-2005","0,8","4,6","-1,5","79","94","62","2,431","3","8,8","10,8","31,6","80 ( ENE )","5 ( NNE )","1","0,9","4,2","6,2","3,1","0","0"
"25-01-2005","-1,5","0,2","-2,5","88","95","71","3,735","3","9,5","10,9","34,2","64 ( ENE )","11 ( NNE )","0","0,6","2,9","3,1","2,7","0","0"
"26-01-2005","-3,9","-1,5","-5,5","91","95","77","6,288","4,9","12,6","17,7","45,4","18 ( NNE )","13 ( NNE )","0","0,5","2,9","3","2,8","0","0"
"27-01-2005","-4","-0,4","-9,2","80","92","63","8,162","2,1","6,2","7,7","22,2","272 ( WNW )","318 ( NNW )","0,6","0,6","2,7","2,8","2,6","0","0"
"28-01-2005","0,2","2,5","-4,8","80","88","70","4,658","2,6","7,4","9,4","26,7","358 ( NNW )","238 ( WSW )","4","0,7","2,5","2,6","2,3","0","0"
"29-01-2005","1,7","2,9","-0,2","81","89","71","2,968","2,8","7,7","10","27,8","32 ( NNE )","351 ( NNW )","1","0,7","2,2","2,4","1,9","0","0"
"30-01-2005","0,3","1,8","-0,6","72","88","50","10,18","2,3","8,6","8,1","30,8","313 ( WNW )","338 ( NNW )","0","0,9","1,9","2,2","1,7","0","0"
