"Villar de Torre - Datos Diarios - Fecha-Hora desde: 01-01-2005 00:00:00 - Fecha-Hora hasta: 17-03-2026 23:59:59"
"Fecha","T ( °C )","Hr ( % )","Rg ( MJ/m2 )","VV ( m/s )","VV ( km/h )","DV ( ° )","P ( l/m2 )","ETo ( mm/dia )","Ts ( °C )","HUMh_1 ( Minutos )","HUMh_2 ( Minutos )"
"Med","Max","Min","Med","Max","Min","Ac","Med","Max","Med","Max","Med","Max","Ac","Calc","Med","Max","Min","Ac","Ac"
"01-01-2005","6,4","9,6","3,3","84","93","68","8,628","2,2","8,9","8","32,2","36 ( NNE )","286 ( WNW )","0","0,7","6,5","7,2","5,9","0","0"
"02-01-2005","6,9","10,3","4,5","85","95","72","3,705","2,2","7","7,7","25,3","82 ( ENE )","0 ( N )","1,4","0,7","6,6","7,5","6","0","0"
"03-01-2005","4,6","8,2","1,3","84","94","63","7,273","1,7","4,7","6,3","16,8","274 ( WNW )","327 ( NNW )","0,4","0,6","6,2","7","5,3","0","0"
"04-01-2005","2,3","6,2","-0,7","87","96","72","7,443","1,2","3,4","4,3","12,1","45 ( NE )","153 ( SSE )","0,2","0,4","4,5","5,4","3,7","0","0"
"05-01-2005","3,8","11,1","0,4","77","92","57","8,757","1,5","5,8","5,3","21","68 ( ENE )","257 ( WSW )","0","0,7","3,8","5,1","2,8","0","0"
"06-01-2005","6,5","11,3","3,3","83","90","64","5,561","1,5","4,3","5,4","15,5","292 ( WNW )","352 ( NNW )","0","0,7","5,1","6,8","3,7","0","0"
"07-01-2005","3,6","7,8","-0,2","90","98","74","9,107","1,2","3,5","4,3","12,4","60 ( ENE )","215 ( SSW )","0,2","0,4","5","5,9","4","0","0"
"08-01-2005","0,2","4,7","-5","95","99","76","6,235","1","3,6","3,6","12,9","17 ( NNE )","15 ( NNE )","0,4","0,4","4,8","5,8","4,2","0","0"
"09-01-2005","-2,6","1,1","-6,3","93","98","76","5,298","0,8","2,5","3","9","75 ( ENE )","27 ( NNE )","0","0,3","3","4,2","2,3","0","0"
"10-01-2005","-3,5","-2","-4,7","97","98","97","3,512","0,8","2,8","2,8","10,2","60 ( ENE )","149 ( SSE )","0","0,2","2,7","3,2","2,2","0","0"
"11-01-2005","-0,2","5,1","-4,5","94","98","83","7,796","1,1","2,8","3,8","10","271 ( WNW )","202 ( SSW )","0,4","0,3","2,6","3,8","1,6","0","0"
"12-01-2005","4,9","10,2","0,2","85","93","70","6,947","1,6","7,3","5,8","26,3","19 ( NNE )","309 ( WNW )","0","0,6","3,4","5","2","0","0"
"13-01-2005","7,2","11,8","4,6","85","93","67","6,499","1,2","4,1","4,4","14,9","328 ( NNW )","138 ( SSE )","0","0,7","5,5","6,8","4,6","0","0"
"14-01-2005","5,8","10,4","0,3","87","98","71","9,117","1,4","3,2","5","11,6","71 ( ENE )","209 ( SSW )","0,2","0,6","5,3","6,7","4,2","0","0"
"15-01-2005","0,1","1","-2,8","99","99","98","2,271","0,9","3","3,1","10,9","54 ( ENE )","14 ( NNE )","0,4","0,3","4,7","5,3","4,4","0","0"
"16-01-2005","-3,8","0","-9","99","100","99","3,64","0,7","3,5","2,7","12,5","356 ( NNW )","298 ( WNW )","0,4","0,2","4,5","5,2","4","0","0"
"17-01-2005","2,5","9,9","-8,8","91","100","71","9,447","1,1","5,2","3,8","18,7","41 ( NNE )","155 ( SSE )","0","0,5","3,9","5,3","2,6","0","0"
"18-01-2005","3,1","8,6","-0,6","84","95","65","5,504","4","13,7","14,4","49,4","3 ( NNE )","289 ( WNW )","0,4","1","3,6","4,3","2,6","0","0"
"19-01-2005","6,2","9","2,7","82","89","74","3,398","6,6","13","23,6","46,7","288 ( WNW )","284 ( WNW )","2,8","1,1","4,4","5,9","3,4","0","0"
"20-01-2005","8,3","10,9","4,7","82","91","69","3,859","3","9","11","32,4","54 ( ENE )","276 ( WNW )","0,2","1","6,2","7,1","5,6","0","0"
"21-01-2005","5,9","9,2","3,2","83","92","68","9,979","1,7","4,2","6,1","15,1","36 ( NNE )","346 ( NNW )","0","0,7","5,8","7","5","0","0"
"22-01-2005","6,3","7,9","4,8","77","90","63","3,618","1,4","5,1","5,2","18,3","340 ( NNW )","354 ( NNW )","0","0,8","6,1","6,8","5,6","0","0"
"23-01-2005","5,7","9,3","1,6","79","92","65","10,086","2,2","8,7","8","31,4","62 ( ENE )","354 ( NNW )","0,2","0,9","5,9","6,8","4,5","0","0"
"24-01-2005","0,2","4,1","-2","85","98","64","2,874","3,8","9,6","13,8","34,5","337 ( NNW )","353 ( NNW )","1,4","0,8","4,2","6,4","3,1","0","0"
"25-01-2005","-2","-0,9","-2,7","91","97","75","2,675","4,2","10,5","15","37,8","85 ( ENE )","340 ( NNW )","0","0,5","2,9","3,1","2,8","0","0"
"26-01-2005","-4,3","-1,6","-6,3","94","97","83","5,174","5,1","14","18,2","50,3","300 ( WNW )","360 ( N )","0","0,4","2,9","2,9","2,8","0","0"
"27-01-2005","-4","-1,8","-5,3","80","94","65","9,544","4","10","14,4","36","281 ( WNW )","298 ( WNW )","0,4","0,6","2,8","2,9","2,7","0","0"
"28-01-2005","0,2","2,4","-4","82","91","69","5,235","4,2","9,8","15","35,4","300 ( WNW )","289 ( WNW )","1,8","0,8","2,6","2,7","2,2","0","0"
"29-01-2005","1,3","2,5","-0,4","86","94","75","3,075","4,6","10,1","16,4","36,5","271 ( WNW )","286 ( WNW )","2,2","0,7","2,2","2,3","1,8","0","0"
"30-01-2005","-0,1","1","-1","76","90","54","11,375","3,1","9,7","11,3","35,1","291 ( WNW )","14 ( NNE )","0","0,9","1,7","2,1","1,5","0","0"
"31-01-2005","1,9","3,9","0","84","93","67","4,947","2,6","8,1","9,3","29","87 ( ENE )","351 ( NNW )","0,8","0,8","2,2","2,9","1,6","0","0"
